identifier,company,parsed_name,industry,employees,share_price,market_cap_m,description
35GDVHRBMFE7NWATNM84,3I GROUP PLC,3i Group PLC,Investment Banking & Investment Services,216,27.71,30864.96,"3i Group PLC is a United Kingdom-based investment company, which is specialized in private equity and infrastructure. It invests in mid-market companies and core investment markets are Europe and North America. The private equity business is funded principally from its proprietary capital, with some funding from co-investors for selected assets. Its principal focus is on generating attractive capital returns. Private equity sectors include consumer & private label, healthcare, industrial, services & software. Its infrastructure business manages assets on behalf of third-party investors and its proprietary capital, with the objective of generating capital returns and earning fund management fees and portfolio income. Infrastructure sectors include communications, utilities, transport/logistics, social infrastructure, and energy."
549300S9XF92D1X8ME43,ANGLO AMERICAN PLC,Anglo American plc,Metals & Mining,26000,41.66,49159.6,"Anglo American plc is a global mining company focused on the production of copper, premium iron ore and crop nutrients. The Company’s copper operations include Quellaveco, Los Bronces, El Soldado, and Collahuasi. The Quellaveco copper operation is in Peru. Los Bronces is an open-pit copper and molybdenum mine in Chile. El Soldado is a copper mine located in the Cordillera de El Melon, commune of Nogales, Valparaiso Region, 125 kilometers (km) north of Santiago, Chile. The Collahuasi mine is a large copper mine located in the north of the Tarapaca Region in Chile. Its iron ore mines include Sishen, Kolomela, and Minas-Rio. Sishen is an open-pit mine in South Africa. Kolomela is located around 90 km south of its Sishen mine. Minas-Rio is a fully integrated export iron ore operation. It is developing the Woodsmith project in the northeast of England to access a known deposit of polyhalite. The Woodsmith project is located on the North Yorkshire coast, just south of Whitby."
213800MY6QVH4FVLD628,ANTOFAGASTA PLC,Antofagasta PLC,Metals & Mining,38072,39.15,42204.19,"Antofagasta PLC is a United Kingdom-based mining company based in Chile, focused on copper and its by-products. The Company has organized its business into two divisions based on its products: Mining and Transport. Through its Mining division, the Company owns and operates four mines: Los Pelambres primarily produces copper concentrate containing gold and silver as a by-product, and molybdenum concentrate; Centinela, which produces copper concentrate containing gold and silver as a by-product, molybdenum concentrates and copper cathodes; Antucoya and Zaldivar produce copper cathodes. Los Pelambres is located in the Coquimbo Region of central Chile, and Centinela, Antucoya and Zaldivar, which are in the Antofagasta Region of northern Chile. Its Transport Division is known as Ferrocarril de Antofagasta a Bolivia (FCAB) and provides rail and truck services to the mining industry in the Antofagasta Region, including the Company's own mining operations."
PY6ZZQWO2IZFZC3IOL08,ASTRAZENECA PLC,AstraZeneca PLC,Pharmaceuticals,96100,120.06,203605.67,"AstraZeneca PLC is a United Kingdom-based science-led biopharmaceutical company. The Company focuses on the discovery, development, and commercialization of prescription medicines. The Company operates across therapy areas, including Oncology; Cardiovascular, Renal and Metabolism (CVRM); Respiratory and Immunology (R&I); Vaccines and Immune Therapies (V&I), and Rare Disease. In the Oncology area, its key products include Tagrisso, Imfinzi, Calquence, Lynparza, and Enhertu. The key products of CVRM area include Farxiga/Forxiga, Brilinta/Brilique, Crestor, and Lokelma. In the R&I area, the key products are Symbicort, Fasenra, Breztri/Trixeo, and Tezspire. In the V&I Therapies area, the products are Beyfortus and FluMist. The products in the Rare Disease area are Ultomiris, Soliris, Strensiq, and Koselugo. It has about 191 projects in its development pipeline, including 19 new molecular entities (NMEs) in the late-stage pipeline. The Company distributes its products in over 125 countries."
YF0Y5B0IB8SM0ZFG9G81,AVIVA PLC,Aviva plc,Insurance,39359,7.3,23869.14,"Aviva plc is a diversified insurer, with businesses spanning insurance, wealth, and retirement. The Company's segments include UK & Ireland General Insurance, Canada General Insurance, Insurance, Wealth & Retirement (IWR), Aviva Investors, International investments, and Other Group activities. Its IWR operations offer a range of products to individuals and businesses across insurance, wealth, and retirement. Its UK & Ireland General Insurance operations offer insurance cover to individuals and businesses, for risks associated mainly with motor vehicles, property and liability. Its Canada General Insurance operation offers personal and commercial line insurance products, for risks associated mainly with motor, property and liability principally distributed through insurance brokers. Aviva Investors manages policyholders' and shareholders' invested funds, provides investment management services for institutional pension fund mandates and manages a range of retail investment products."
8SVCSVKSGDWMW2QHOH83,BAE SYSTEMS PLC,BAE Systems plc,Aerospace & Defense,112400,19.57,62656.38,"BAE Systems plc provides advanced, technology-led defense, aerospace, and security solutions. The Company is a provider of space, aircraft, weapon systems and munitions, Complex warships, Submarines, Embedding environmental considerations, Intelligence and cyber security, Naval ship repair and support, and Uncrewed and future air system capabilities. Its Electronic Systems segment comprises the United States and United Kingdom-based electronics activities, including electronic warfare systems, navigation systems, and others. Its Platforms & Services segment, with operations in the United States, Sweden and the United Kingdom, manufactures and upgrades combat vehicles, weapons and munitions, and delivers services and sustainment activities Its Air segment comprises air build and support activities. Its Maritime segment comprises maritime and land activities. Its Cyber & Intelligence segment comprises the Intelligence and Security business and the Digital Intelligence business."
213800LBQA1Y9L22JB70,BARCLAYS PLC,Barclays PLC,Banking Services,93000,4.97,72886.72,"Barclays PLC is a diversified bank with five divisions comprising Barclays UK, Barclays UK Corporate Bank, Barclays Private Bank and Wealth Management, Barclays Investment Bank and Barclays US Consumer Bank. The Barclays UK division represents businesses that sit within the United Kingdom ring-fenced bank, Barclays Bank UK PLC and its subsidiaries, and comprises Personal Banking, UK Business Banking and Barclaycard Consumer UK. The Barclays UK Corporate Bank division offers lending, trade and working capital, liquidity, payments, and FX solutions for corporate clients. Barclays Private Bank and Wealth Management division comprises the Private Bank, Wealth Management, and Investments businesses. Barclays Investment Bank division incorporates the Global Markets, Investment Banking, and International Corporate Banking businesses. Barclays US Consumer Bank division represents the United States credit card business, focused on the partnership market, as well as an online deposit franchise."
213800LH1BZH3DI6G760,BP P.L.C.,BP p.l.c.,Oil & Gas,93700,5.4,91191.98,"BP p.l.c. is a global integrated oil and gas company. The Company's segments include Gas & low carbon energy, Oil production & operations, Customers & products, and Other businesses & corporate. The gas & low carbon energy includes regions with upstream activities that predominantly produce natural gas, gas trading and its Archaea Energy business. The oil production & operations segment comprises regions with upstream activities that predominantly produce crude oil, including bpx energy. The customers & products segment comprises its customer-focused businesses, which include convenience and retail fuels, electric vehicle (EV) charging, as well as Castrol, aviation, business-to-business (B2B), midstream, and bp bioenergy. It also includes its products businesses, refining and oil trading. The other businesses and corporate also comprise the Company's shipping and treasury functions, and corporate activities worldwide."
213800FKA5MF17RJKT63,BRITISH AMERICAN TOBACCO P.L.C.,British American Tobacco p.l.c.,Food & Tobacco,47797,41.25,97167.13,"British American Tobacco p.l.c. is a global multi-category consumer goods business company. The Company provides tobacco and nicotine products. Its segments include the United States, Asia Pacific Middle East and Africa, and Americas and Europe. Its product categories include Vapor, Heating Products (HPs), Modern Oral, Traditional Oral, and Combustibles. Vapor products are handheld, battery-powered devices that heat a liquid to produce an inhalable aerosol, known as vapor. HPs are devices that use heat to generate a nicotine-containing aerosol, which the user inhales. This category includes Tobacco Heated Products and Herbal Products for Heating (HPH). Modern Oral products are smoke-free oral nicotine products called nicotine pouches, designed for use in the mouth. Traditional oral products include snus and snuff. Its brands include Vuse, glo, Velo, Grizzly, Kent, Dunhill, Lucky Strike, Pall Mall, Rothmans, Newport, Natural American Spirit, Camel, and others."
213800LRO7NS5CYQMN21,BT GROUP PLC,BT Group,Telecommunications Services,77200,2.02,21505.05,"BT Group plc is a United Kingdom-based provider of fixed and mobile telecommunications and related secure digital products, solutions and services. It has four customer-facing units: Consumer, Business, International, and Openreach. The Consumer unit serves individuals and families in the United Kingdom. The Business unit covers companies and public services in the United Kingdom and internationally. The International unit serves multinational organizations headquartered outside the United Kingdom and overseas public sector customers. The Openreach unit is an independently governed, wholly owned subsidiary wholesaling fixed access infrastructure services to its customers, over 700 communications providers, across the United Kingdom. It provides digital connectivity services including broadband, mobile, television, cybersecurity, networking and managed services. Its wholly owned subsidiary, British Telecommunications plc, encompasses virtually all businesses and assets of the Company."
